data,novos_obitos_por_covid19,total_obitos_por_covid19,total_de_obitos,obitos_por_demais_causas,obitos_por_falha_respiratoria,obitos_por_causa_indeterminada,obitos_por_pneumonia,obitos_por_sars,novos_obitos,media_movel_de_obitos,media_movel_de_obitos_por_covid19
2020-01-01,0.0,0,37,15.0,5.0,0.0,11.0,1.0,0.0,,
2020-01-02,0.0,0,68,18.0,3.0,0.0,5.0,0.0,31.0,,
2020-01-03,0.0,0,107,21.0,6.0,0.0,7.0,0.0,39.0,,
2020-01-04,0.0,0,148,18.0,4.0,0.0,11.0,0.0,41.0,,
2020-01-05,0.0,0,184,22.0,5.0,0.0,4.0,0.0,36.0,,
2020-01-06,0.0,0,218,21.0,2.0,0.0,10.0,0.0,34.0,,
2020-01-07,0.0,0,259,16.0,3.0,0.0,16.0,0.0,41.0,31.714285714285715,0.0
2020-01-08,0.0,0,299,20.0,5.0,0.0,14.0,0.0,40.0,37.42857142857143,0.0
2020-01-09,0.0,0,335,20.0,5.0,0.0,6.0,0.0,36.0,38.142857142857146,0.0
2020-01-10,0.0,0,374,21.0,5.0,1.0,7.0,0.0,39.0,38.142857142857146,0.0
2020-01-11,0.0,0,420,21.0,2.0,0.0,13.0,0.0,46.0,38.857142857142854,0.0
2020-01-12,0.0,0,449,15.0,6.0,0.0,5.0,0.0,29.0,37.857142857142854,0.0
2020-01-13,0.0,0,498,31.0,1.0,1.0,12.0,0.0,49.0,40.0,0.0
2020-01-14,0.0,0,540,24.0,3.0,1.0,9.0,0.0,42.0,40.142857142857146,0.0
2020-01-15,0.0,0,587,25.0,7.0,0.0,9.0,0.0,47.0,41.142857142857146,0.0
2020-01-16,0.0,0,632,25.0,6.0,1.0,6.0,0.0,45.0,42.42857142857143,0.0
2020-01-17,0.0,0,671,17.0,4.0,1.0,11.0,0.0,39.0,42.42857142857143,0.0
2020-01-18,0.0,0,705,19.0,3.0,0.0,7.0,0.0,34.0,40.714285714285715,0.0
2020-01-19,0.0,0,755,20.0,6.0,0.0,15.0,0.0,50.0,43.714285714285715,0.0
2020-01-20,0.0,0,802,24.0,2.0,1.0,16.0,0.0,47.0,43.42857142857143,0.0
2020-01-21,0.0,0,846,27.0,3.0,0.0,9.0,0.0,44.0,43.714285714285715,0.0
2020-01-22,0.0,0,882,23.0,2.0,0.0,5.0,0.0,36.0,42.142857142857146,0.0
2020-01-23,0.0,0,911,12.0,6.0,0.0,6.0,0.0,29.0,39.857142857142854,0.0
2020-01-24,0.0,0,954,29.0,3.0,1.0,5.0,0.0,43.0,40.42857142857143,0.0
2020-01-25,0.0,0,987,22.0,2.0,0.0,4.0,0.0,33.0,40.285714285714285,0.0
2020-01-26,0.0,0,1021,20.0,6.0,0.0,7.0,0.0,34.0,38.0,0.0
2020-01-27,0.0,0,1050,12.0,3.0,0.0,7.0,0.0,29.0,35.42857142857143,0.0
2020-01-28,0.0,0,1089,24.0,3.0,0.0,7.0,0.0,39.0,34.714285714285715,0.0
2020-01-29,0.0,0,1116,15.0,3.0,0.0,6.0,0.0,27.0,33.42857142857143,0.0
2020-01-30,0.0,0,1158,21.0,3.0,1.0,10.0,0.0,42.0,35.285714285714285,0.0
2020-01-31,0.0,0,1207,31.0,1.0,0.0,11.0,0.0,49.0,36.142857142857146,0.0
2020-02-01,0.0,0,1249,18.0,3.0,0.0,10.0,0.0,42.0,37.42857142857143,0.0
