date,state,new_deaths_covid19,deaths_covid19,deaths_total_2020,new_deaths_others_2020,new_deaths_respiratory_failure_2020,new_deaths_indeterminate_2020,new_deaths_pneumonia_2020,new_deaths_sars_2020
2020-01-01,MS,,0,37,15.0,5.0,,11.0,1.0
2020-01-02,MS,,0,68,18.0,3.0,,5.0,
2020-01-03,MS,,0,107,21.0,6.0,,7.0,
2020-01-04,MS,,0,148,18.0,4.0,,11.0,
2020-01-05,MS,,0,184,22.0,5.0,,4.0,
2020-01-06,MS,,0,218,21.0,2.0,,10.0,
2020-01-07,MS,,0,259,16.0,3.0,,16.0,
2020-01-08,MS,,0,299,20.0,5.0,,14.0,
2020-01-09,MS,,0,335,20.0,5.0,,6.0,
2020-01-10,MS,,0,374,21.0,5.0,1.0,7.0,
2020-01-11,MS,,0,420,21.0,2.0,,13.0,
2020-01-12,MS,,0,449,15.0,6.0,,5.0,
2020-01-13,MS,,0,498,31.0,1.0,1.0,12.0,
2020-01-14,MS,,0,540,24.0,3.0,1.0,9.0,
2020-01-15,MS,,0,587,25.0,7.0,,9.0,
2020-01-16,MS,,0,632,25.0,6.0,1.0,6.0,
2020-01-17,MS,,0,671,17.0,4.0,1.0,11.0,
2020-01-18,MS,,0,705,19.0,3.0,,7.0,
2020-01-19,MS,,0,755,20.0,6.0,,15.0,
2020-01-20,MS,,0,802,24.0,2.0,1.0,16.0,
2020-01-21,MS,,0,846,27.0,3.0,,9.0,
2020-01-22,MS,,0,882,23.0,2.0,,5.0,
2020-01-23,MS,,0,911,12.0,6.0,,6.0,
2020-01-24,MS,,0,954,29.0,3.0,1.0,5.0,
2020-01-25,MS,,0,987,22.0,2.0,,4.0,
2020-01-26,MS,,0,1021,20.0,6.0,,7.0,
2020-01-27,MS,,0,1050,12.0,3.0,,7.0,
2020-01-28,MS,,0,1089,24.0,3.0,,7.0,
2020-01-29,MS,,0,1116,15.0,3.0,,6.0,
2020-01-30,MS,,0,1158,21.0,3.0,1.0,10.0,
2020-01-31,MS,,0,1207,31.0,1.0,,11.0,
